    ,InsuranceType,DateFrom,DateTo,Status,InsurancePolicyNo,ChassisNumber
BAA  3680,,06-01-17,31-12-17,,,LGAX5DF5XE3812306
ABH 7110,,01-01-18,31-12-18,,,GX90-6705008
BAA   3693,,06-01-17,31-12-17,,,LGAX5DF55E3812306
BAA   3680,,06-01-17,31-12-17,,,LGAX5DF5XE3812306
BAA   3679,,06-01-17,31-12-17,,,LGAX5DF53E3812308
ADD 9764,,06-01-17,31-12-17,,,AZT240-0002577
ALT 5238,,09-01-17,31-12-17,,,ACM21-5045200
ALM 5145,,01-01-20,31-03-20,,1355112,V73W-100126
ABV1890,,01-01-18,31-12-18,,612009,JTFSS22P300060077
T B A,,17-01-17,31-12-17,,,LVBV6PEC7GH010880
T  B  A,,17-01-17,31-12-17,,,LVBV6PEC0GH010879
BAE 5582,,01-01-20,31-12-20,,1570591,LVBV4JBB2GJ037752
ALZ2640,,24-01-17,31-12-17,,612014,V75W-0013148
11CD99Z,,01-01-19,31-12-19,,,JTEBZ29J500040947
BAC 2680,,24-01-17,31-12-17,,,LVBV3JBB6EJ069670
ACZ 997,,02-01-18,31-12-18,,,SG5-017897
11CD26Z,,01-01-18,31-12-18,,,ACV30-0131232
ALX 653,,01-01-20,31-12-20,,1570585,RZJ120-0018934
BAD 9198,,01-01-19,31-12-19,,,KDH201-0025540
BAC 5156,,01-01-19,31-12-19,,1569949,VZN2150001346
BAB 7541,,01-01-18,31-12-18,,,5R50-0085630
BAB 9209,,01-02-17,31-12-17,,,FC3JJE-10357
ALR 6177,,01-02-17,31-12-17,,,TBA
BCA 7843,,01-10-18,31-03-19,,612031,MAT396522F2R11954
BAD  8154,,01-10-18,30-09-19,,,LVBV4JBB9GJ037750
AEA 7721,,10-02-17,31-03-17,,612033,RA3-1308549
ABZ 6139,,01-01-18,31-12-18,,,MR0CS12G100091918
ACR 8578,,01-04-20,31-03-21,,1571413,4JGBF6E59A479821
BAE 6793,,01-01-20,31-12-20,,612038,FB4JGA-10757
BAE5331,,20-02-17,31-12-17,,,AFAPXXMJ2PDR22852
,,,,,,
,,,,,,
,,,,,,
,,,,,,
BAE 7802,,01-04-20,31-03-21,,1571704,LVAV2MBB6GJ004202
,,,,,,
,,,,,,
,,,,,,
BAD 546,,01-04-20,31-03-21,,1571707,NZT240-0055541
ALF 5802,,01-04-20,31-03-21,,1571706,AHTFZ29G209078533
ALJ 5418,,28-02-17,31-03-18,,,RZH112-7101072
BCA8092,,18-04-20,30-09-20,,1571921,ADX492051GAA03525
AAL 780,,03-03-17,31-12-17,,,8621655
BAC9369,,04-03-17,31-12-17,,612045,SR50-0104073
BCA 8093,,01-01-20,31-03-20,,1570938,ADX492051GAA03526
11CD66Z,,03-04-20,31-03-21,,1571780,JTMHV09J204088364
11CD10Z,,01-04-19,31-03-20,,1110303,JNITCSY61Z0572263
11CD88Z,,01-04-19,31-03-20,,1110305,K77JNRXE012858
BAE 7856,,01-04-20,31-03-21,,1571478,LZZ5CLSB4GD222363
BAE 7857,,01-04-20,31-03-21,,1571471,LZZ5CLSB5GD222369
BAE 7859,,01-04-20,31-03-21,,1571472,LZZ5CLSB3GD222368
BAE 7860,,01-04-20,31-03-21,,1571470,LZZ5CLSB2GD222362
BAE7 861,,01-04-18,31-03-19,,612105,LZZ5CLSB6GD222364
BAE 7862,,01-04-20,31-03-21,,1571473,LZZ5CLSBXGD222366
BAE 7863,,01-04-20,31-03-21,,1571468,LZZ5CLSB1GD222367
BAE 7865,,01-04-20,31-03-21,,1571467,LZZ5CLSB8GD222365
BAE 7387,,01-04-20,31-03-21,,1571463,LZZ5CLVB5GD222383
BAE 7871,,01-04-20,31-03-21,,1571462,LZZ5CLVB7GD222384
BAE 8024T,,01-04-20,31-03-21,,1571529,AHBDSB3SEGB110156
BAE 7853T,,01-04-20,31-03-21,,1571528,AHBDSB3SEGB110157
BAE 7852T,,01-04-20,31-03-21,,1571527,AHBDSB3SEGB110155
BAE 7849T,,01-04-20,31-03-21,,1571530,AHBDSB3SEGB110158
BAE 7850T,,01-04-20,31-03-21,,1571531,AHBDSB3SEGB110159
BAA3122T,,11-03-17,31-03-18,,612117,223219
BAE 7732T,,01-04-20,31-03-21,,1571532,AHBDSB3SEGB110160
ABL 5357,,16-03-17,31-03-18,,,UBS69GW-8114198
,,,,,,
GRZ 435CN,,01-10-16,30-09-17,,,LVAV2MBBXEJ014844
GRZ 435 CN,,16-03-17,30-09-17,,,LVAV2MBBXFJ014844
BAD 1936 T,,01-04-17,30-06-17,,,LA0940L36G9WM825
BAD 1935 T,,01-04-17,30-06-17,,,LA0940L36G9WM8028
BAD 1932 T,,01-04-17,30-06-17,,,LA0940L36G9WM8027
,,,,,,
BAD 1931 T,,01-07-19,30-06-20,,1355404,LA0940L36G9WM8034
BAD 1930T,,01-07-19,30-06-20,,,LA0940L36G9WM8033
BAD1928 T,,01-04-17,30-06-17,,,LA0940L36G9WM8032
BAD  1927 T,,01-04-17,30-06-17,,,LA0940L36G9WM8031
BAD  1925T,,01-04-17,30-06-17,,,LA0940L36G9WM8030
BAD  1886T,,01-04-17,30-06-17,,,LA0940L36G9WM8026
BAD  1910,,01-04-17,30-06-17,,,LZZ5CLSB4GW140606
BAD  1867,,01-04-17,30-06-17,,,LZZ5CLSB6GW140607
BAD  1865,,01-04-17,30-06-17,,,LZZ5CLSB8GW140608
BAD  1864,,01-04-17,30-06-17,,,LZZ5CLSBXGW140609
BAD  1863,,01-04-17,30-06-17,,,LZZ5CLSB6GW140610
BAD  1862,,01-04-17,30-06-17,,,LZZ5CLSB8GW140611
BAD  1861,,01-07-19,30-06-20,,,LZZ5CLSBXGW140612
BAD  1859,,01-04-17,30-06-17,,,LZZ5CLSB3GW140614
BAD  1858,,01-04-17,30-06-17,,,LZZ5CLSB5GW140615
BAD  772,,01-07-19,30-06-20,,,LZZ5CLSB1GW140613
ALT 9888,,01-04-20,31-03-21,,1571450,AHTEU39G600001703
ALB 8529,,01-04-20,31-03-21,,1571449,ADNCJUD22Z0010931
AJD 5778,,01-04-18,31-03-19,,,AZR60-0339803
ALK 5121,,01-04-20,31-03-21,,1571459,LVBV4JBB5CT060775
AOB 2054,,01-04-20,31-03-21,,1571460,LVBV6PEC4DH205668
ALZ 1775,,01-04-20,31-03-21,,1571464,LZZ5CLSB0EA793170
ALZ 2095,,01-04-20,31-03-21,,1571465,LZZ5CLSB2EA793171
AIB 3090,,01-04-20,31-03-21,,1571466,LZZ5CLSB6EA793173
ALZ 6820,,01-04-18,31-03-19,,,LZGJLJV42AX004498
ALP 8003,,01-04-20,31-03-21,,1571461,LZGJLJV44AX004499
,,,,,,
ALP 7912,,01-04-20,31-03-21,,1571455,LXGCPA292AA000297
ALK 8992,,01-04-20,31-03-21,,1571456,20100041
ALP 8436,,01-04-20,31-03-21,,1571458,LXGCCA409AA004969
ALZ 3288,,01-04-20,31-03-21,,1571453,L5E5B4D3XEA009288
ALZ 3289,,01-04-20,31-03-21,,1571454,L5E5B4D38EA009287
ALZ 3291,,01-04-17,31-03-18,,,L5E5B4D31EA009289
ALZ 3290,,01-04-20,31-03-21,,1571607,20140011
ALZ 3292,,01-04-20,31-03-21,,1571457,20140007
BAE 8352,,01-01-20,31-03-20,,1570934,LVBV4J883GJ037999
BAE 8353,,01-01-20,31-03-20,,1570935,LVBV4JBB7GJ038007
BAE 8354,,15-10-19,31-12-19,,1570191,LVBV4JBB5GJ038006
BAE 8091,,01-04-18,31-03-19,,,LVBV4JBB1GJ037998
ALR 5935,,01-04-20,31-03-21,,1571524,LST9400J8A0106028
ALR 1547T,,01-04-20,31-03-21,,1571520,LST9400J7A0106022
ALR 9417,,01-04-18,31-03-19,,,LST9400J0A0106024
ALR 7320,,01-04-20,31-03-21,,1571521,LST9400J9A0106023
ALZ 4331T,,01-04-20,31-03-21,,1571518,223233
ALZ 4436T,,01-04-20,31-03-21,,1571517,223234
BAA 3122T,,01-04-20,31-03-21,,1571516,223219
ALR 8061,,01-04-20,31-03-21,,1571513,LA99D0408B0MJ003
,,,,,,
BAB 8263,,01-04-17,31-03-18,,612181,SH1FDG10334
BAB 8058T,,01-04-17,31-03-18,,612183,FVA133H-02034
BAE1564,,01-04-17,31-03-18,,612185,LVAV2MBB7GJ004094
,,,,,,
,,,,,,
BAA8056,,23-03-17,31-03-18,,612186,SALLAAAF3AAA526338
11CD8Z,,23-03-17,31-03-18,,612187,WBAVA72070AK41764
ALT 2303,,01-04-18,31-03-19,,1110875,FC6JKF-11171
ALT 2305,,01-04-17,31-03-18,,,NZE121-0014596
AAA 9988,,24-03-17,31-03-18,,,SALLNABE72A370574
,,,,,,
,,,,,,
ALK 6213,,01-04-18,31-03-19,,,WBD2110652A167719
ABZ 4204,,01-04-20,31-03-21,,1571403,MMBJRKB80AD039514
ALD 2030,,01-04-18,31-03-19,,,ACV30_0079350
ALV 8337,,01-04-20,31-03-21,,1571400,AHTFZ29G709115088
ALM3324,,01-04-17,31-03-18,,,MRO53ZEC107062491
BAD 1911,,01-04-18,31-03-19,,,LZZSELAND7GW140882
ABZ1490,,01-04-17,31-03-18,,612197,MROEZ19G405300680
BAA 55,,01-04-17,31-03-18,,,MNH15-0023448
BAC 9581,,01-04-20,31-03-21,,1571614,AHTFR22G406113259
ALK 5503,,01-04-20,31-03-21,,1571617,AHTFZ29G309091954
BCA 4779,,01-01-20,31-03-20,,1570933,MAT396522F2R10812
BCA 5003,,01-04-18,31-03-19,,151154,ADMNP66LP5Z379693
BCA4779,,01-04-17,31-03-18,,151155,MAT396522F2R10812
BCA 5061,,01-04-18,31-03-19,,151157,MAT492005F7R18678
BAE 5068,,29-03-17,31-03-18,,,LKLSAAS39DB621143
AJD 7319,,01-04-20,31-03-21,,1571753,JTEBH3FJ50K077398
BAD3811,,01-10-19,30-09-20,,1570132,SALLAAAF3AA522431
BAE 5331,,14-05-18,31-03-19,,1224745,AFAPXXMJ2PDR22852
,,,,,,
AEA7721,,01-04-17,30-06-17,,,RA3-1308549
ALT 9838,,01-04-17,31-03-18,,,MROFZ29G101661513
,,,,,,
,,,,,,
ALD 6906,,01-01-19,31-12-19,,,NZE121-3273162
BAE 6075,,01-04-17,31-03-18,,,LZG3LDR414X006616
BAD 788,,01-04-18,31-03-19,,1224688,LZGJLDR49FX039106
BAB 1855,,01-04-17,31-03-18,,,LZGJDR4XEX032745
BAE 9208,,01-04-17,30-09-17,,,LGAX4DD36E3812792
BAE9032,,01-04-17,31-03-18,,151173,ACU30-0015337
ALE 3480,,01-04-18,31-03-19,,151174,AE110-3011808
ALE 3480,,01-04-18,31-03-19,,151174,AE110-3011808
ALL 9828,,01-04-20,31-03-21,,157756,KDH205-0006710
ABT 6027,,03-04-17,31-03-18,,,MR053HY4204088903
BAD 6414,,03-04-17,31-12-17,,,ZZT240-0037627
AIB 724,,04-04-17,30-06-17,,,WDB203045-2F052091
BCA 4893,,01-04-18,31-03-19,,151182,MAT492005F7R11834
BAE9088,,01-04-20,31-03-21,,1571376,WFOHXXTTGHGT32247
BCA 9339,,18-03-20,30-06-20,,1571626,MAT396522G2R17418
ABL923,,07-04-17,31-03-18,,151187,AHTEZ39G307008035
  TBA,,11-04-17,31-03-18,,,LVBV4JBB3GJ095031
,,,,,,
BAF 5989ZM,,01-10-18,31-03-19,,151196,AHTKB3CB402360946
FR59XDGP,,15-04-17,30-06-17,,151197,AHTKB3CB502361314
BAF 5990ZM,,01-10-18,30-09-19,,151198,AHTKB3CB902360831
BAF 5991ZM,,01-01-20,31-12-20,,1570579,AHTKB3CB002361303
BAF 5993ZM,,01-10-18,30-09-19,,151200,AHTKB3CB102361293
FR59XBGP,,15-04-17,30-06-17,,612051,AHTKB3CB402361336
BAA9409,,18-04-17,31-03-18,,612052,JTMJV03J-104158074
AJC 7136,,19-04-17,30-06-17,,,LFCNKB5P6B2002636
AJD 2779,,19-04-17,31-03-18,,,MR0FZ29G902547575
ARB252,,21-04-17,31-03-18,,612055,LZZ5ELNBOEN852216
ARB268,,21-04-17,31-03-18,,612056,LZZ5ELNBXEN852210
ARB276,,21-04-17,31-03-18,,612057,LZZ5BBMF9EN852187
ALF 1922,,01-04-18,31-12-18,,,ALE50-039858
BAF 299,,24-04-17,31-03-18,,,AHTHZ3CDX00840847
BAF 364,,24-04-17,31-03-18,,,AHTHZ3CDX00840850
BCA 9341,,01-01-20,31-03-20,,1570930,MAT396522G2R17418
BCA 9340,,01-04-18,31-03-19,,,MAT396522G2R20875
BAA 8552,,01-04-18,31-03-19,,1110874,LWEW-308082
ADA1596,,27-04-17,31-03-18,,612067,AHTFZ29G909095216
BAF 658,,27-04-17,31-03-18,,,LVB4JBB2GJ095036
BAD3463,,01-04-18,31-03-19,,612069,RM12-102260
BAA6730,,01-04-18,31-03-19,,1110882,AHTEZ39G607012922
BAF 1260ZM,,03-05-17,31-03-18,,,WDB2201652A224852
BAF996,,04-05-17,31-03-18,,6120084,JMYLYV98WHJOOO158
,,,,,,
ACV  8464,,06-05-17,31-03-18,,,1GNSCJE06DR131764
ACZ  2422,,06-05-17,31-03-18,,,LVAV2MBB6DJ053704
,,,,,,
ALV  3344,,06-05-17,31-03-18,,,LVAV2KBBIDJ059897
ALX  3479,,06-05-17,31-03-18,,,LVAV2MBB7DJ017164
BAD3997,,01-04-20,31-03-21,,1571639,LVAV2MBBXGJ004204
BAE  2948,,06-05-17,31-03-18,,,LVAV2KBB1FJ014848
BCA 9338,,01-04-18,31-03-19,,612080,MAT396522G2R19037
AAA  2699,,15-05-17,31-03-18,,612083,LVBV4JBB4GJ095040
,,,,,,
BAF4391ZM,,01-04-20,31-03-21,,1571708,LBZF46FA3EA001657
A A A2696,,24-05-17,31-03-18,,612093,492051G5R700799
BAF1276ZM,,24-05-17,31-03-18,,612094,6FPPXXMJ2PFU22044
ALM3333,,01-04-18,31-03-19,,1110876,WBAFA52020LM41142
BAF 1227ZM,,01-10-18,31-12-18,,,FC2JKB-10221
BCA 7621,,30-05-17,31-03-18,,,LVAV2MBB4GJ004103
BAE 6897,,01-04-20,31-03-21,,1571634,LVAV2MBB6GJ004104
ALT 6300,,01-04-20,31-03-21,,1571633,LVAV2MBB1DJ053710
,,,,,,
,,,,,,
BAD  1936 T,,01-07-19,30-06-20,,,LA0940L36G9WM825
BAD  1935 T,,01-07-19,30-06-20,,,LA0940L36G9WM8028
BAD  1932 T,,01-07-19,30-06-20,,,LA0940L36G9WM8027
BAD  1931 T,,01-07-17,30-06-18,,,LA0940L36G9WM8034
BAD  1930 T,,01-07-19,30-06-20,,,LA0940L36G9WM8033
BAD  1928 T,,01-07-19,30-06-20,,,LA0940L36G9WM8032
BAD  1927 T,,01-07-17,30-06-18,,,LA0940L
BAD  1927T,,01-07-17,30-06-18,,,LA0940L36G9WM8031
BAD  1925 T,,01-07-17,30-06-18,,,LA0940L36G9WM8030
BAD  1924 T,,01-07-19,30-06-20,,,LA0940L36G9WM8029
BAD  1886 T,,01-07-17,30-06-18,,,LA0940L36G9WM8026
BAD   1910,,01-07-17,30-06-18,,,LZZ5CLSB4GW140606
BAD   1867,,01-07-17,30-06-18,,,LZZ5CLSB6GW140607
BAD   1865,,01-07-17,30-06-18,,,LZZ5CLSB8GW140608
BAD   1864,,01-07-19,30-06-20,,,LZZ5CLSBXGW140609
BAD   1863,,01-07-17,30-06-18,,,LZZ5CLSB6GW140610
BAD   1862,,01-07-17,30-06-18,,,LZZ5CLSB8GW140611
BAD   1861,,01-07-17,30-06-18,,,LZZ5CLSBXGW140612
BAD   1859,,01-07-17,30-06-18,,,LZZ5CLSB3GW140614
BAD   1858,,01-07-17,30-06-18,,,LZZ5CLSB5GW140615
BAD   772,,01-07-17,30-06-18,,,LZZ5CLSB1GW140613
BAD2242,,01-07-19,30-06-20,,612423,SCP10-3047215
ALL 2332,,01-07-17,30-06-18,,612424,AZR60-0086851
ALM4074,,07-06-17,30-06-18,,612425,MMBJNK7405D032773
FR 59XPGP,,01-07-17,30-09-17,,,AHTKB3CB402360946
FR 59XDGP,,01-07-17,30-09-17,,,AHTKB3CB502361314
FR 59XWGP,,01-07-17,30-09-17,,,AHTKB3CB902360831
FR 59XGGP,,01-07-17,30-09-17,,,AHTKB3CB002361303
FR 59XSGP,,01-07-17,30-09-17,,,AHTKB3CB102361293
BAD 4883,,01-07-18,30-06-19,,,AHTFZ29G809143479
BAD 4534,,01-07-18,30-06-19,,,AHTFZ29G909144849
BAA  8323,,01-07-17,30-06-18,,,AHTFZ29G209121669
ALV  9095,,01-07-17,30-06-18,,,LGWDBBC177DC619781
ALM4074,,07-06-17,30-06-18,,612425,MMBJNK7405D032773
BAA,,01-07-17,30-06-18,,,AHTFZ29G009120908
,,,,,,
 BAA 5880,,01-07-17,30-06-18,,,LVAV2MBB2FJ005314
BAA 5880,,01-07-17,30-06-18,,,LVAV2MBB2FJ005314
BAA   5880,,,,,,LVV2MBB2FJ005314
BAA 5883,,01-07-18,30-06-19,,,LVAV2KBBXFJ014847
BAA 8037,,01-07-18,30-06-19,,,LVBVAJBBIEJ047623
BAC  4859,,01-07-17,30-06-18,,,LVBV4JBB8FJ046423
"ALM 5231
ALM5231",,01-07-17,31-12-17,,612447,ACM21-0015376
ALM 5231,,01-01-18,31-03-18,,612477,ACM21-0015376
ABR  3510,,01-01-20,31-12-20,,,JTELB71J607078003
ALG  1338,,01-01-20,31-12-20,,,6FPPXXMJ2PCC45826
ALC  1911,,01-01-20,31-12-20,,,AHTFZ29GX09059759
ALC  181,,01-01-20,31-12-20,,,KDJ95-00252263
HY 888,,01-01-20,31-12-20,,,SXV20-0334023
ALZ 2380,,01-07-17,30-09-17,,,FB4JEA-52093
,,,,,,
AAA   2696,,15-06-17,30-09-17,,,AHTKA3FS300614348
BAF 194,,01-01-19,31-12-19,,"612457
612457",GRX120-0035356
ALX  2803,,01-07-17,30-06-18,,,GX110-6033505
ALE  7684,,01-07-17,30-06-18,,,AHTFZ29G509074718
ALT 4007,,01-01-18,31-12-18,,612461,V93W-0001373
ALP 1111,,02-06-17,04-08-17,,,
BAF 2711,,01-07-18,30-06-19,,,LZGIRDR60FX023537
BAE7743,,24-09-19,31-12-19,,612463,FC3JKE-11061
ABT  9734,,01-07-17,30-06-18,,,AE110-6011831
BAA  4522,,01-07-18,30-06-19,,,NZE121-5021049
ALZ  9808,,01-07-18,30-06-19,,,AHTFZ29G309123544
BAF2979,,20-06-17,31-03-18,,612468,LVBV4JBB4GJ095040
BAB 5470,,01-07-17,30-09-17,,,KZJ950017393
AJD 9080ZM,,01-07-18,30-06-19,,,LZZ5EL5D1CN585268
BAD 2145,,01-07-19,30-06-20,,1354940,AHTFZ29G809036447
ABM  9733,,01-07-18,30-06-19,,,JN1TCSY61Z0567224
TBAA,,24-06-17,30-06-18,,612473,LVBV6PEC6GH023877
GRZ  692  CH,,01-07-18,30-06-19,,,JMLMV96WBJ001253
11CD  69Z,,01-07-18,30-06-19,,,JTMHV05J105018127
BAC2459,,27-06-17,30-06-18,,612476,XZU412-0007585
BAF2140,,01-07-18,30-06-19,,612475,LJ11RFCD-2F3000306
BAD 5818,,01-07-19,30-06-20,,1355448,MMM156LH0DH652871
BAB 4764,,01-07-19,30-06-20,,1355442,NZE121-3192339
BAA 2370,,01-07-19,30-06-20,,1355441,LGDCM91LBB127514
AEB 966,,01-10-19,30-09-20,,1570026,AHTKB3CD602605408
AEB 1005,,07-06-18,30-09-18,,612482,AHTKB3CB002361298
11CD3Z,,01-07-18,30-09-18,,612483,GA4W-0300159
BCA9392,,01-07-17,30-06-18,,612484,JTEBH3FJ20K065306
BAE9846,,01-07-17,30-06-18,,612485,LVBV6PEC7GH010877
BAA9285,,01-07-18,30-06-19,,1224849,V73W-0601149
BAD5698,,01-07-18,30-06-19,,612487,GRJ120-5048327
DTBA,,01-07-17,30-09-17,,612488,H3831200
,,,,,,
TBAD,,01-07-17,30-09-17,,612489,H3831198
TBA D,,01-07-17,30-09-17,,612490,H3831199
BAA4174,,01-07-17,30-06-18,,612491,ACM21-5012100
BAA4403,,01-07-17,30-06-18,,612492,ACR6048ZM
ALG 220,,01-07-19,30-06-20,,612493,WBSGY02090LH67005
ALL 7099,,05-07-17,30-06-18,,,RZJ95-0013291
BAF 3857ZM,,06-07-17,30-06-18,,,223239
BAF 3867 ZM,,01-04-20,31-03-21,,1571514,223239
BAF 3866ZM,,01-04-20,31-03-21,,1571515,223237
BAF 3867ZM,,01-07-18,31-03-19,,,223239
BAF5988ZM,,06-07-17,30-06-18,,,AHTKB3CB402361336
,,,,,,
S53869616,,06-07-17,30-06-18,,,AHTKB3CB802360674
BAF2743ZM,,01-07-19,30-06-20,,,LZZ5BLNB1GN190948
,,,,,,
,,,,,,
BAF2745ZM,,01-07-19,30-06-20,,,LZZ5BLNBXGN190947
BAF3325ZM,,01-07-19,30-06-20,,,LZZ5BLMB3FW111340
BAF 4070,,01-01-20,31-12-20,,62502,XZU410-0001958
BAF 4012,,08-07-17,30-06-18,,612503,F01JLD-11403
BAD 2132,,01-07-18,30-06-19,,612504,AHTHZ29G02206322
BAF4225ZM,,01-07-19,30-06-20,,,LBZF56GB9DA004985
  T  B  A,,12-07-17,31-03-18,,,GGH258021031
BAF4392ZM,,01-07-19,30-06-20,,,LBZF46GB3EA005201
S85335916,,14-07-17,30-06-18,,,AHTKB3CB602361337
ALB523,,16-07-17,30-06-18,,612512,KZJ95-0011054
ALR 6993,,01-04-20,31-03-21,,1571526,LST9400J6A0106030
ALR  8061,,17-07-17,30-06-18,,,LA99D0408B0TMJ003
AAA  2696,,17-07-17,30-09-17,,,492051G5R701101
ALR 9137,,01-04-20,31-03-21,,1571523,LST9400J6A0106027
ABL  5357,,18-07-17,30-06-18,,,UBS69GW-8114198
ABZ8102,,24-05-19,31-12-19,,612518,MCR40-0026379
BAA2889,,18-07-17,30-06-18,,612519,AHTFR22G706095808
11 CD20Z,,19-07-17,30-06-18,,,WDD2452322J097837
BAF4823ZM,,01-07-19,30-06-20,,,LVBV6PEC6GH023877
ABZ 2330,,01-07-18,30-06-19,,,LFWSVXPJ7AAD03622
ALD 7368T,,01-07-18,30-06-19,,612524,LJRB10373B6006107
ABZ  2330,,21-07-17,30-06-18,,612523,LFWSVXPJ7AAD03622
ALD 7368T,,21-07-17,30-06-18,,,LJRB10373B6006107
BCB221ZM,,01-10-18,30-09-19,,612525,492051G5R701101
,,,,,,
BCB402ZM,,18-04-20,30-09-20,,1571920,492051G5R700804
,,,,,,
BAE 4935,,31-07-17,30-09-18,,,MNH10-0028940
BAF 5992ZM,,01-10-19,31-12-19,,1569929,AHTKB3CB502361314
AHB4724ZM,,01-10-19,30-09-20,,1569783,LZGJLJM44GX066964
BAF 6441ZM,,01-10-18,31-12-18,,,ACA38-5139563
BAF 6059 ZM,,01-10-19,30-09-20,,1570025,AHTKA3FS300614348
BAD 7209,,08-08-17,30-09-18,,,KDJ95-0036642
ABM 5777,,01-07-18,30-06-19,,,AHTFR22G106012809
ABR 2904,,01-07-18,30-06-19,,,AHTEZ39G-80701012467
BAF 6851ZM,,01-07-18,30-06-19,,,AHTDZ29GX09303109
BAF 6417ZM,,01-07-19,30-06-20,,1355108,AHTHZ3CD600841350
ZNS 844B,,01-01-18,31-12-18,,612547,KMHJU81VSFU066038
BCB 231ZM,,01-10-18,31-03-19,,612552,492051G5R701102
BAB8722,,15-08-17,30-06-18,,612555,3GG3P-101040
,,,,,,
,,,,,,
,,,,,,
   T  B  A,,17-08-17,30-09-18,,,JTMHV05J404219591
11CD93Z,,01-10-19,30-09-20,,,V73W-0403646
11CD13Z,,01-10-18,30-09-19,,,GRS182-1024159
BAF 7633ZM,,01-10-19,30-09-20,,1569985,6FPPXXMJ2PHB68886
BAJ51ZM,,01-07-19,30-06-20,,,L1C39HRG7J0000101
BAF7627ZM,,01-10-19,30-09-20,,1569987,6FPPXXMJ2PGT34658
TBA CJSI,,27-09-17,30-09-18,,612654,LVCB2NBA5HS011354
ALR 5224,,19-10-18,30-09-19,,,GX100-0059991
BAG 91ZM,,01-04-20,31-03-21,,612659,JTEBR3FJ30K058443
BAG90ZM,,28-09-17,30-09-18,,612658,JTEBR3FJ80K058129
BAF6392ZM,,28-09-17,30-09-18,,612660,NZE151-1000934
ALL 7789,,01-10-18,30-09-19,,,JN1TANY62Z0015120
ALC 8592,,01-10-19,30-09-20,,,SALLMAM43BA357918
ALV 9798,,01-10-18,30-09-19,,,NT30-081321
BAB 6679,,01-10-19,30-09-20,,1569937,FC2JJA-10640
BAB 2505,,01-10-19,30-09-20,,,FC1JD-10473
BAF 9959ZM,,29-09-17,30-09-18,,,LZZ5CLSB8HD246098
BAF 9961ZM,,01-01-20,31-12-20,,1569912,LZZ5CLSB2HD246095
BAF 9963ZM,,01-01-20,31-12-20,,1569923,LZZ5CLSB4HD246096
BAF 9964ZM,,01-01-20,31-12-20,,1569913,LZZ5CLSB6HD246097
BAG 214ZM,,01-10-19,31-12-19,,1569925,LA996RGC3H0SYL220
BAG 215ZM,,01-04-20,30-06-20,,1569924,LA996RGC7H0SYL222
BAG 216ZM,,01-04-20,30-06-20,,1569914,LA996RGC5H0SYL221
BAG325ZM,,29-09-17,30-09-18,,612677,LA996RGC9H0SYL223
ALP1111,,01-10-17,30-09-18,,612678,JTEBZ29J900148777
ALJ135,,01-10-18,30-09-19,,612679,MCU15-0003273
BAF 9005ZM,,01-01-20,31-12-20,,1569871,ANH10-0008475
BAD 4824,,01-10-19,30-09-20,,1570114,LVBV4JBB4FJ046414
BAB 5995,,01-10-18,30-09-19,,,JTFDP626300036872
ALL2941,,03-10-17,30-09-18,,612683,LZZ5CLMB1CN801487
ALL2963T,,03-10-17,30-09-18,,612685,LJRB13382C6006742
ABE9790,,03-10-17,30-09-18,,612686,FNB15-021611
BAF 9925ZM,,01-10-18,30-09-19,,612688,AHTKA3FS100614624
BAF 9924ZM,,01-10-19,30-09-20,,1569782,AHTJA3GS100220194
AIB,,04-10-17,31-12-17,,,
,,,,,,
AIB724,,04-10-17,31-12-17,,,WDB203045-2F052091
AAZ 4448,,23-08-17,30-09-18,,,MKP2BKW451939
BAF 7868ZM,,24-08-17,30-09-18,,,ZZT240-0090747
BCB 222ZM,,01-04-20,31-03-21,,1571747,492051G5R700799
AEB 1086ZM,,07-11-19,31-12-19,,,AHTKB3CB602361337
,,,,,,
BAF 8082ZM,,01-10-19,30-09-20,,1570113,WAUZZZ4F67N127989
AEB 1085ZM,,01-10-18,31-03-19,,,AHTKB3CB802360674
BAF 3239ZM,,28-08-17,31-12-17,,,WBANU12010CW
TBA,,01-01-17,31-12-17,,,JTEBH3FJ00K058077
BAB 3814,,01-10-19,30-09-20,,1569961,LVAV2MBB1FJ014845
BA 8836ZM,,17-08-17,30-09-18,,,JTMHV05J404219591
BAB 8722,,01-01-20,31-12-20,,1570657,3GG3P-101040
BAF 7312ZM,,07-09-17,31-03-18,,,NZT240-0020300
BA 8930ZM,,09-09-17,30-09-18,,,6FPPXXM12PHA85821
BA 9039ZM,,09-09-17,30-09-18,,,6FPPXXMJ2PHA85820
ALE 9151,,08-10-18,30-09-19,,,WBAJV52020KL90490
BAB 5365,,12-09-17,30-09-18,,,NZE121-0218996
BAB 5365,,12-09-17,30-09-18,,,NZE121-0218996
BAB 8601,,12-09-17,30-09-18,,,ZRE142-6002077
BAB 8407,,12-09-17,30-09-18,,,NZT240-0092636
BAD 6677,,01-10-17,30-09-18,,,ZNE10-0390835
BAF 5133ZM,,01-10-19,30-09-20,,1569938,AE110-5340316
BAE 352,,01-10-18,30-09-19,,,AE111-6158953
BAD 7096,,01-01-20,31-12-20,,15870586,LVAV2MBB7GJ004192
BAC 5415,,01-10-17,30-09-18,,,LVBV4JBB6FJ046422
